"names","descr"
"Definition Viognier","This wine has loads of spicy, creamy peach flavour, but that doesn't burn the back of your throat."
"Edna Valley Chardonnay 2015","Combining typically Californian richness of texture with great freshness of fruit and subtle complexity, with crisp acidity cutting through the layers of ripe apple fruit and toasty oak."
"Chteau Robin 2015, Castillon Cotes de Bordeaux","From a region bordering Saint milion this is a plush, super smooth baby-Saint milion. Uncork and lap up the silky bramble fruit, delicate mineral streaks and satin tannins.  "
"Chablis 1er CR Monts & Vallees","A classic Chablis flavours are presents - Apple, Citrus and fine minerality"
"Goldwater Sauvignon Blanc 2016 Marlborough","Offers masses of elderberry fruit and raspberry leaf aromas and exhibits an excellent minerally finish along the lines of Sancerre. Perfect with seafood or salads."
"Santa Rita 120 Carmnre 2016 Central Valley","A lively and juicy representation of this variety, with a soft and supple texture, bright brambly fruit and subtle notes of spice and tobacco leaf, and a hint of vanilla from 6 months in French oak."
"Santa Rita Medalla Real Cabernet Sauvignon 2013 Maipo Valley","Deep, ripe ruby red in colour with a nose of blackcurrant, menthol and toasty vanilla notes. Rich, ripe almost sweet tannins and a long length. Enjoy with spicy red meats, venison and goose."
"Chateau Musar Aana 2013","The Aana is richly packed with cassis and black cherry flavours enriched by notes of plums, cinnamon and coffee. A triumph!"
"Domaine La Chautarde Ros 2016 Cteaux Varois en Provence","A light, dry and fruity ros, with strawberry, red cherry flavours accompanying more subtle flavours of watermelon and nectarine."
"Definition Albarino 2016","Albarino is revered in North West Spain, and we wanted to capture the reason why. We think it's an enviable purity and concentration of fruit flavour and a rich, slightly oily texture."
"Brancott Estate Sauvignon Blanc 2016 Marlborough","New Zealand in a glass...vibrant and lifted aromas of ripe tropical fruits and gooseberry...a fresh finish."
"Luis Felipe Edwards Gran Reserva Chardonnay 2017 Casablanca Valley","Aromas of peach, apricot, dessert apples and vanilla open the show for a palate with more round, ripe stone fruits and citrus. Best served with turkey or whole salmon."
"Ctes-du-Rhne 2016 Lon Perdigal","As seen on TV. The spice-tinged red fruits continue on the palate, which is medium-bodied and has a pleasing length. Enjoy with Mediterranean lamb dishes or barbecued meats such as pork."
"Villa Maria Private Bin Riesling 2016 Marlborough","This is immensely fresh despite being off-dry. An intriguing apritif, this wine can also be paired well with aromatic Thai food or glazed ham."
"La Baume Grande Olivette Malbec 2015","This Malbec is all about fresh red cherries, refreshing acidity and floral notes."
"Definition Gruner Veltliner","Racy and precise. Its a livewire of quince, white peach and white pepper spice. A long-lasting mineral finish mark this out as a quintessential Gruner Veltner."
"Definition Ctes Du Rhne 2016","Our Ctes du Rhne, a blend of Grenache, Syrah and Carignan.  Discover perfume, blackcurrant and pepper"
"Chteauneuf du Pape Reserve des Diacres","It is increasingly difficult to find CNDP of this quality at this price. Silky smooth, intense and complex the classic flavours."
"Chateau Tour Bayard Montagne 2014","This is a smooth and powerful wine with big flavours of blackcurrant, liquorice and sweet spices"
"Acacia Road Sauvignon Blanc","This Sauvignon is lively and fresh with an abundance of zingy grapefuit and apple flavours softened by hints of ripe melon."
"Vir-Cless Cave de Vir","Flavours of delicate peach and rich tropical fruit are enhanced by a creamy texture from lees ageing."
"Historialis Cahors Malbec 2016","Cahors is one of the oldest wine regions in Europe; vines have been planted here since Roman times. In the Middle Ages Cahors, "
"Antonys Yard 2014 Graham Beck, Western Cape","Aromas of fruitcake and spice, with red and black fruits on the textured palate and the oak-ageing lending hints of cigar box. A balanced structure and good length. Goes extremely well with beef."
"Santa Ana Sauvignon Blanc 2016 Mendoza","Bright lemon yellow with the greenish tint of youth, this is a fresh, crisp and citrus-led wine. Soft-edged tropical notes and herb nuances linger in the background."
"Definition Malbec 2016/17","Our Malbec, from Mendoza, Argentina. Find rich plummy fruit with hints of smoke and chocolate."
"Penfolds Bin 28 Kalimna Shiraz 2014 South Australia","Bin 28 offers a showcase of warm-climate Australian Shiraz  ripe, robust and generously flavoured."
"Porta 6 2015 Magnum","One of our fastest selling wines ever thanks to a certain TV chef. This wine has rich and powerful fruit backed up with a kick of booze"
"Winemaker Series Shiraz 2016","This is a rich, deep and complex expression of Shiraz with loads of dark fruit flavours."
"The Astronomer Shiraz 2016 De Bortoli","This wine displays classic notes of Blackcurrant, Bramble and white pepper"
"Waimea Estate Pinot Gris 2016 Nelson","As seen on TV. Bursting with aromas of pear, honey, apple, spice and even a hint of cream. Gorgeous with poached pears or with Thai and Asian foods."
"Mcon-Villages 'Les Roches Blanches' 2016 Louis Jadot","Made in a fresh, clean and fruity style with subtle green apple and pear flavours with a pleasant minerally finish. A nice apritif, this will also partner white fish dishes and chicken well."
"Louison Rose 2016 Coteaux D'Aix En Provence","This Provence rose is a taste of summer at any time of the year with its soft flavours of white peach and strawberry and a fine floral finish."
"Rustenberg RM Nicholson 2015 Stellenbosch","This wine was named in honour of one of the estate's former owners, Reg Merriman Nicholson, who lived and worked as winemaker at Rustenberg for 30 years."
"Gavi 2016 La Toledana","Ripe peach and pears with hints of citrus and a slight honeyed edge held together by steely minerality and a fresh acidity. Great with salmon and tomatoes."
"Saintsbury Pinot Noir 2012 Carneros","Ripe red-fruit aromas with bitter black cherry, spice, cigar tobacco, mocha and vanilla. A ripe and textured palate of integrated tannins, red-fruit and spice with a fresh, weighty finish."
"Caixas Albario 2016 Ras Baixas","A light, fresh and youthful wine, with a zesty and well defined citrus backbone, overlayed with subtle hints of stone fruits and nectar. Crisp and refreshing, yet rounded and enduring on the finish."
"Bellingham 'The Bernard Series' Old Vine Chenin Blanc 2016 Western Cape","Tropical fruit and citrus, limestone and oak aromas give way to a refreshing, powerful and rounded palate. Vanillin spices with honeysuckle, layers of fruit and a lingering finish."
"Petit Chablis 2015 Sguinot-Bordet","A pale, light and lively wine, with a vivacious nose of citrus fruit and white blossom notes. The palate is of crisp yellow apples and a twist of lemon, with a firm, clean finish."
"Villa Maria Reserve Sauvignon Blanc 2016 Marlborough","Produced from vineyards in the Wairau Valley. Ripe gooseberry, tropical passion fruit and herbaceous hints before an intense, zesty palate of fresh citrus fruits and nectarine with a crisp finish."
"Jim Barry Cover Drive Cabernet Sauvignon 2015 Coonawarra","The nose is very fragrant, dominated by intense cassis and cedar, with nuances of fennel and damson. A generous palate with succulent tannins framing blackcurrant, liquorice and cherry flavours."
"Rioja Blanco 2016 Lpez de Haro","An interesting and complex wine. Ripe fruit flavours with notes of date and banana results in a mouth filling finish and pleasant aftertaste."
"Roaring Meg Pinot Noir 2015 Mt Difficulty, Central Otago","A lovely mix of red and black berry fruits with complexity from oak spice. Cracking, complex wine. Enjoy with pork loin and peach chutney or rabbit casserole."
"Majestic Loves Merlot 2016","This merlot is soft and smooth and packed with plum flavours."
"Chablis Elodie Duprs 2016","This will make a great accompaniment for shellfish."
"Vialba Gran Reservado Malbec 2014 Mendoza","A generous nose of warm plum-pudding-like fruit, lifted by soft vanilla and flower petal notes. The tannins are muscular, yet smooth and voluptuous. Perfect with beef."
"Gnarly Dudes Shiraz 2016 Two Hands, Barossa Valley","Intense and complex on the nose, with an array of fruit accented by notes of chestnuts, burnt toffee, chocolate and lavender. Full and lush on the palate, with a supple texture and good length."
"Rioja Gran Reserva 2009/2010 Marqus de Cceres","Showing great complexity with notes of roasted coffee, spice, plum and strawberry. Powerful in the mouth with fleshy fruit and nuances of toasty, well-integrated oak leading to a balanced finish."
"Rioja Reserva 2013 Beronia","Dos Maderas means 'two woods': the barrels used by the winery are made from both American and French oak. Deep ruby-maroon in colour, with plenty of density."
"Vialba Fifty 50 2015 Uco Valley","Typically intense and vibrant, full of inky violet colour, with a juicy damson and blackcurrant backbone characterising both nose and palate."
"Schild Estate Merlot","This beautifully balanced Merlot is a clear demonstration of the quality achievable in the region. Not just a fruit-forward glugger."
"Domaine Bouzereau Gruere Puligny Montrachet 2015","The palate display amazing finesse with white peach, apple and vanilla flavours enhanced by notes of white pepper."
"Contesa Pecorino 2016 IGT Colline Pescaresi","A remarkably intense nose of citrus fruits, hints of hawthorn and orange blossom. Soft, clean, but persistent palate texture, with a pleasing mineral complexity. Perfect with nutty cheeses."
"Beaujolais-Villages 2015 Georges Duboeuf","Packed with juicy strawberry, raspberry and cherry fruit flavours. A bright and youthful wine with a fresh finish. Try with turkey or even a curry!"
"Finca Carelio Tempranillo 2014 Vino de la Tierra","Complex and layered, this wine offers rich aromas of ripe blackberries, leather and vanilla, and is wonderfully plush on the palate."
"Valle Antigua Merlot 2017","Soft, plummy and eminently drinkable this possesses harmonious fruit flavours and just a touch of oak flavour on the silky finish."
"Graham Beck Brut Ros NV","Pale silvery pink, with aromas of raspberry and cherry, with some subtle mineral hints. Bright acidity and fine mousse balance well with the ripeness of the crushed berry flavours."
"Excellence Ormarine Picpoul","This wine from old vines is simply one of the best we have ever tried.  It is all of the above with added richness and complexity."
"L'Extra par Langlois Brut NV Crmant de Loire","Pale lemon yellow with a fine, shimmering mouse. Clean, dry and elegant on the tongue."
"Errazuriz Estate Series Pinot Noir 2016 Valle de Aconcagua","The fresh palate displays fruit that is well-balanced by smoky nuances from the oak ageing. an excellent partner to roast pork, fillet of salmon or turkey."
"Pouilly-Fuiss 'Les Vignes Blanches' 2015 Domaine Cordier","Ripe tropical fruit in the form of peach and apricot are in abundance here, yet are kept in touch with a crisp acidity which leaves the finish refreshing and near-flawless."
"Chteau Herve Laroque 2014 Fronsac","This is their second wine but is made with same care and attention, and from grapes grown on the same soils, as their top cuvee but in a more accessable earlier drinking style"
"Parrilla Malbec 2015 Vialba, Mendoza","As seen on TV. This Malbec is crammed with damson, blackberry and plum flavours, accented by touches of oak toast. Smooth, ripe tannins offer a silky finish."
"Santa Rita Medalla Real Carmenre 2015 Colchagua Valley","Plush and full bodied, this wine offers the nose and palate an array of blueberry, plum and oak-softened cassis fruit, accented with intriguing coffee and dark chocolate aromas."
"Villa Maria Cellar Selection Pinot Noir 2015 Marlborough","Medium bodied with beautifully poised red fruit and very well integrated oak flavours. The crisp acidity and fine grained tannins provide a delightfully clean long finish of considerable finesse."
"Marquis de Belleville 2014 Bordeaux Suprieur","A middleweight claret with a good balance of ripe plum and berry flavours, with plenty of concentration. Tannins are fine-grained and provide a smooth yet ample feel."
"Chronic Pink Pedals","A very pretty shade of pink, this blend of 89% Grenache and 11% Syrah shows crisp nectarine and peach."
"Saint Clair Pioneer Block Pinot Noir 2015 Marlborough","Bright ruby in colour, aromas of raspberry and plum are complemented by a touch of spice. A luscious and soft palate with flavours of redcurrant, cherries and an added warmth from time in oak barrels."
"Waimea Estate Gewrztraminer 2016 Nelson","A tropical-fruit-laden wine, full of concentrated flavours of orange zest and lychee, embellished with floral notes on the nose and a delicate yet slightly unctuous texture. Perfect with Thai."
"Chablis 'La Maladire' 2015 William Fvre","With a searing backbone of acidity and bone-dry finish balanced by fresh lime, lemon and orange fruits, this wine also displays nuances or flint and chalk on the nose."
"Incanta Pinot Noir 2016"," The nose has delicate aromas of redcurrant, strawberry and raspberry.  These flavours are matched on the palate with the addition on notes of flowers and sweet spice."
"Ctes-Du-Rhne 2016 Les Fustiers","Long fermentation and ageing in stainless steel tanks preserve intense red fruit flavours with classic notes of white pepper and moorland herbs."
"Chronic Cellars Purple Paradise 2015 Paso Robles","Purple Paradise has a rich dark colour intense smoky, vanilla,  cherry, chocolate and spice flavours."
"Morellino di Scansano 2016 Poggioargentiera","Ripe cherry and strawberry fruit forms the backbone of this wine, which is medium-bodied and approachable, and fresh in feel. A subtly rustic streak gives a touch of complexity and food friendliness."
"Tarima Monastrell 2015 Alicante","The powerful fruit flavours of brambles and dark cherries are lifted by an elegant floral finish in this soft and rounded wine."
"Majestic Loves Chardonnay 2016","Expect plenty of fresh citrus, lime, and tropical flavours. A superb choice with poultry."
"Saint Clair Pioneer Block Sauvignon Blanc 2016 Marlborough","An almost otherworldly intensity of fruit, with pungent aromas of gooseberry and passionfruit, with a steely dryness, herbaceous characters, underlying minerality and a long, lingering finish."
"Capaia Merlot Cabernet 2015","This wine is a classic blend of Bordeaux varieties with classic flavours of cassis and dark cherry."
"Valpolicella Classico 2015/2016 Cantina di Negrar","Juicy red berries and red fruit aromas explode from the glass followed by summer berries, exotic spices and hints of earth. Seductive, smooth yet full body lingers on the palate with a velvety finish."
"Colpasso Zibibbo 2016","Hurry! When it's gone, it's gone - wigig. This rare example of dry Zibibbo is a taste of Mediterranean sunshine; lean and racy, it fresh, floral aromas."
"Mon Plaisir du Sud Rouge 2016","This super concentrated blend of Carignan, Syrah and Grenache oozes the sun dappled charm of the Languedoc"
"Chablis 1er Cru 'Montmains' 2013 Vocoret","A classic Chablis: fresh and lean, minerally, with citrus aromas. Dry, crisp, well balanced, vibrant fruit and a refined finish. Perfect with salmon."
"Montes Single Vineyard Merlot 2014","This will be perfect with nice pink roast lamb."
"Planalto White Reserva 2016 Douro","As seen on TV. At once traditional and modern, the wine is vinified very much in a contemporary style to preserve freshness of fruit and maximum aromatic impact."
"Waimea Estate Sauvignon Blanc 2016 Nelson","Aromas of ripe gooseberry and tropical fruit, delicate floral notes and mineral characters. An elegant, crisp palate of citrus and gooseberry with a zingy, refreshing finish."
"Lastarria Malbec 2016","Classic Malbec flavours and aromas of plum, backcurrant and bramble are heightened bydelicate floral and sweet spice notes."
"La Belle Angele Sauvignon Blanc 2016","This is a beguiling and charming wines full of crisp apple and gooseberry flavours."
"Black Cottage Ros 2016 Marlborough","Pale salmon pink, this wine has a gentle and attractive nose of ripe red berries and subtle spice. Light and refreshing, the delicate fruit and crisp acidity fade to a clean, dry finish."
"Definition Chianti Classico 2013","We worked side by side with our friends in Castellina to produce this benchmark Chianti, finally settling on this blend from the best vats. It really can't fail to impress!"
"Majestic Loves Montepulciano 2016","This great Montepulciano is full of juicy red fruit and relaxed tannins, perfect with pizza."
"Herdade De Gambia","This big juicy red is packed with soft plum, bramble and cherry flavours.  It is soft and supple and makes a gloriously approachable wine to enjoy on its own or with grilled meats."
"Errazuriz Estate Series Carmenre 2016 Aconcagua Valley","On the palate, this medium-bodied wine is structured by big, mouth-filling tannins. Spicy notes linger on the palate, with hints of dark chocolate and coffee, through the long, pleasant finish."
"Clos St-Jacques Riesling 2014/2015","Typically dry and focused Alsatian Riesling, offering a lemony bouquet accented with hints of golden apple, acacia and smoky mineral notes."
"Tenacity Old Vine Shiraz 2016","Hurry! When it's gone, it's gone - wigig. Rich, smooth and completely in balance we have a limited number of these stunning bottles available so snap them up while you can."
"L'Extra par Langlois Ros NV Crmant de Loire","Fresh and very delicate peachy pink in colour with light summer berry and gentle leafy notes."
"Barolo 2012 Ciabot Berton","A fine, mature Barolo from a small, family-run estate. Showing classic aromas of rose petals and hints of tar, with an elegant palate and long finish."
